0.5904480707467986	ORPHA:1532
0.10299917278097978	OMIM:601853
0.07306357655531634	ORPHA:228390
0.030454376108623924	ORPHA:83
0.026005818070826525	ORPHA:3038
0.023353221764830796	OMIM:605627
0.02101533578979552	OMIM:614132
0.010670369837561294	OMIM:613456
0.010670369837561294	OMIM:609942
0.009614227712252437	ORPHA:1620
0.00781170725146385	ORPHA:46
0.006253695629102782	OMIM:616078
0.005817782163331564	OMIM:600159
0.004394345850106931	OMIM:613443
0.004218425093043327	OMIM:608013
0.004104580359160914	OMIM:616606
0.004104580359160914	OMIM:601163
0.004007514578710026	ORPHA:96147
0.0035886951561154585	OMIM:616430
0.003358977220146417	OMIM:614069
0.003145968229684319	ORPHA:2745
0.003145968229684319	OMIM:608688
0.003101690793923424	OMIM:613792
0.002946868488750794	OMIM:611174
0.0024350889453822293	OMIM:613544
0.0021493658182952387	OMIM:122430
0.0017669610904656465	ORPHA:171839
0.00168422022945705	OMIM:616503
0.0016789326928895875	OMIM:179613
0.0015863414155271348	OMIM:600991
0.0015863414155271348	OMIM:615433
0.001515843344235571	OMIM:610253
0.0012533666582047983	ORPHA:1695
9.957613786528382E-4	OMIM:606851
9.95082936992279E-4	OMIM:155980
9.408148491247199E-4	OMIM:169100
9.408148491247199E-4	ORPHA:93258
8.405416766293575E-4	OMIM:300884
7.517216462070562E-4	OMIM:612379
7.517216462070562E-4	ORPHA:1790
7.111479914479164E-4	ORPHA:1396
7.048181066028017E-4	OMIM:257300
6.697570422792739E-4	OMIM:614976
6.36870914142402E-4	OMIM:263210
6.180308287230988E-4	ORPHA:1827
6.02880736279126E-4	OMIM:617190
5.461206400269215E-4	ORPHA:261112
5.405549954243497E-4	ORPHA:2673
5.119892117603123E-4	ORPHA:66625
4.931507871140847E-4	OMIM:616897
4.850145126331382E-4	OMIM:264470
4.720123338753336E-4	ORPHA:2454
4.354598001101166E-4	OMIM:242860
4.0213437759563587E-4	ORPHA:357074
3.516169081343871E-4	OMIM:603671
3.516169081343871E-4	OMIM:615834
3.516169081343871E-4	ORPHA:420794
3.334161948914485E-4	ORPHA:2701
3.334161948914485E-4	ORPHA:1512
3.334161948914485E-4	OMIM:114620
3.1619356780493126E-4	OMIM:103050
3.1619356780493126E-4	OMIM:608545
2.8446209489505105E-4	ORPHA:2021
2.68405485288486E-4	ORPHA:178509
2.68405485288486E-4	OMIM:613506
2.5411870946190395E-4	ORPHA:254346
2.187317274520101E-4	ORPHA:171829
2.0115356031661264E-4	OMIM:612247
1.9701996786433993E-4	OMIM:611961
1.969292969858819E-4	ORPHA:261318
1.8700571951571468E-4	OMIM:617062
1.8700571951571468E-4	OMIM:613174
1.8700571951571468E-4	ORPHA:90350
1.8379636044586664E-4	OMIM:606438
1.7751203125913146E-4	ORPHA:1394
1.6851071955137567E-4	OMIM:617402
1.5997523369098708E-4	ORPHA:1488
1.5455366237448345E-4	OMIM:172700
1.44203082138802E-4	OMIM:616789
1.44203082138802E-4	ORPHA:2211
1.4217507150616774E-4	OMIM:600274
1.3103163660405703E-4	ORPHA:3074
1.2345767395102638E-4	ORPHA:276413
1.2345767395102638E-4	ORPHA:59315
1.2345767395102638E-4	OMIM:239710
1.2096772252795624E-4	ORPHA:250977
1.1723876280680957E-4	OMIM:249420
1.1723876280680957E-4	ORPHA:1974
1.004229894723477E-4	ORPHA:96125
9.645222567728589E-5	OMIM:211910
9.603504194657487E-5	ORPHA:35099
8.604610111898461E-5	OMIM:222448
8.173171212975132E-5	ORPHA:1703
7.763583311055451E-5	OMIM:612582
7.763583311055451E-5	OMIM:156610
7.710426361193927E-5	OMIM:615483
7.710426361193927E-5	OMIM:617127
7.181531993123254E-5	ORPHA:91133
7.181531993123254E-5	OMIM:202370
7.005507969295069E-5	OMIM:601560
6.69530599932676E-5	ORPHA:412066
6.322062217314709E-5	ORPHA:950
